Image Name,Downloads,Stars,Pulls
alpine,1B+,10K+,10091311
nginx,1B+,10K+,18186354
busybox,1B+,3.1K,8683968
ubuntu,1B+,10K+,27085717
python,1B+,8.9K,8989335
redis,1B+,10K+,13023044
postgres,1B+,10K+,11997335
node,1B+,10K+,10721454
httpd,1B+,4.5K,4724494
mongo,1B+,9.8K,5138718
memcached,1B+,2.1K,5018325
mysql,1B+,10K+,0
traefik,1B+,3.0K,1574317
mariadb,1B+,5.5K,1128091
docker,1B+,2.4K,5800833
rabbitmq,1B+,4.9K,14627750
hello-world,1B+,2.1K,1756419
openjdk,1B+,3.7K,0
golang,1B+,4.6K,4018663
registry,1B+,3.9K,705659
wordpress,1B+,5.3K,732403
centos,1B+,7.6K,521696
debian,1B+,4.8K,1887994
php,1B+,7.2K,0
consul,1B+,1.4K,510620
influxdb,1B+,1.8K,397469
nextcloud,500M+,3.8K,442481
sonarqube,500M+,2.3K,454255
haproxy,500M+,1.9K,560217
ruby,500M+,2.3K,1674412
amazonlinux,500M+,1.3K,938014
elasticsearch,500M+,6.1K,972976
tomcat,500M+,3.6K,1849458
maven,500M+,1.5K,1102588
eclipse-mosquitto,500M+,1.1K,326386
telegraf,500M+,626,252880
vault,500M+,1.1K,327591
caddy,500M+,615,3088359
bash,100M+,593,691248
adminer,100M+,860,120178
ghost,100M+,1.6K,146092
kong,100M+,747,208096
zookeeper,100M+,1.4K,536479
neo4j,100M+,1.2K,238647
perl,100M+,446,108537
buildpack-deps,100M+,653,226723
mongo-express,100M+,1.3K,327098
gradle,100M+,547,467579
cassandra,100M+,1.5K,203840
logstash,100M+,2.1K,62454
couchdb,100M+,531,86065
nats,100M+,448,782918
chronograf,100M+,345,24970
drupal,100M+,993,40499
kibana,100M+,2.6K,0
solr,100M+,961,0
composer,100M+,1.0K,399432
matomo,100M+,304,0
fedora,100M+,1.2K,0
adoptopenjdk,50M+,363,131958
nats-streaming,50M+,163,0
flink,50M+,396,0
couchbase,50M+,910,0
joomla,50M+,416,9927
groovy,50M+,143,27265
rethinkdb,50M+,614,17136
rust,50M+,842,0
eclipse-temurin,50M+,397,0
redmine,50M+,1.2K,30496
amazoncorretto,50M+,324,0
owncloud,50M+,1.4K,3241
phpmyadmin,50M+,851,0
kapacitor,50M+,254,0
erlang,50M+,357,0
elixir,50M+,547,54952
jruby,10M+,115,15643
mediawiki,10M+,511,8202
mono,10M+,510,8232
pypy,10M+,375,16357
jetty,10M+,402,49656
arangodb,10M+,281,30147
clojure,10M+,352,26757
oraclelinux,10M+,1.0K,45977
xwiki,10M+,281,12447
znc,10M+,111,5436
rockylinux,10M+,169,46733
ros,10M+,596,18061
haxe,10M+,59,3317
hylang,10M+,56,14582
swift,10M+,658,57274
websphere-liberty,10M+,296,7457
gcc,10M+,811,15020
tomee,10M+,110,20017
sapmachine,10M+,45,9359
yourls,10M+,254,14924
piwik,10M+,195,2117
aerospike,10M+,141,8363
crate,10M+,223,2873
photon,10M+,182,19486
orientdb,10M+,178,3772
varnish,10M+,155,22649
julia,10M+,324,14185
open-liberty,10M+,61,5183
bonita,10M+,173,14356
monica,10M+,170,9619
fluentd,10M+,180,20668
neurodebian,5M+,103,692
r-base,5M+,514,10873
storm,5M+,194,1482
irssi,5M+,165,1174
haskell,5M+,460,1828
backdrop,5M+,108,770
plone,5M+,89,1221
cirros,5M+,76,1123
notary,5M+,66,988
lightstreamer,5M+,84,4936
geonetwork,5M+,77,1844
postfixadmin,1M+,175,1955
friendica,1M+,51,4381
convertigo,1M+,50,964
hello-seattle,1M+,14,1002
almalinux,1M+,123,30418
spiped,1M+,55,653
swipl,1M+,62,466
fsharp,1M+,85,206
ibm-semeru-runtimes,1M+,31,21672
eggdrop,1M+,76,669
rapidoid,1M+,27,78
rakudo-star,1M+,59,405
express-gateway,1M+,74,795
Kaazing Gateway,1M+,65,0
silverpeas,1M+,39,566
mageia,1M+,43,286
dart,1M+,116,9976
hola-mundo,1M+,11,85
known,1M+,47,449
crux,500K+,40,104
euleros,500K+,33,270
alt,500K+,54,1669
emqx,500K+,61,5423
hitch,100K+,18,245
satosa,100K+,7,979
unit,50K+,8,0
api-firewall,10K+,35,302
spark,9.4K,9,825
cheers,0,0,0
